modele,accuracy,bal_accuracy,precision,recall,F1_macro,F1_pondere,AUC_ROC,PR_AUC,best_params
LogReg,0.8573770491803279,0.8590594406989362,0.8232281595843014,0.8861430069647995,0.8572784805969044,0.8575114694845936,0.9460351284177564,0.9423734260511252,{'m__C': 0.01}
RandomForest,0.8571626733921816,0.8577975756476892,0.8341257946147088,0.8680183935246188,0.856897284392991,0.857280097338822,0.9458880883497527,0.9421979736763086,"{'m__n_estimators': 250, 'm__min_samples_leaf': 20, 'm__max_features': 0.5, 'm__max_depth': 20}"
ExtraTrees,0.8569356872635561,0.8584378630423433,0.8246319280438169,0.8826202705246458,0.8568140815933016,0.8570732895256573,0.9459281820595229,0.9422009232609716,"{'m__n_estimators': 250, 'm__min_samples_leaf': 50, 'm__max_depth': 12}"
XGBoost,0.8566582597730139,0.8557074583554629,0.8519245447606586,0.8404012154785274,0.8559832558496916,0.8565957202678691,0.9460268253948044,0.9423456435872918,"{'m__subsample': 1.0, 'm__n_estimators': 300, 'm__max_depth': 4, 'm__learning_rate': 0.1}"
HistGB,0.8566204287515763,0.8554485107405132,0.854599895612999,0.8365826767418721,0.8558731705768483,0.8565178279794244,0.9460872031795649,0.9424144004450233,"{'m__min_samples_leaf': 50, 'm__max_leaf_nodes': 15, 'm__max_iter': 200, 'm__learning_rate': 0.1}"
LightGBM,0.8565447667087012,0.855446474415035,0.853604405841576,0.837765885927878,0.8558216508735121,0.8564559223486086,0.945932763312939,0.9422277566530611,"{'m__subsample': 0.8, 'm__num_leaves': 31, 'm__n_estimators': 300, 'm__learning_rate': 0.05}"
